"country","year","country_name","ISO","COWcode","Region_UN","Vdem_libdem_z","Vdem_libdem_m1","ChgDem","Vdem_regime_di","Vdem_polyarchy_z","Vdem_liberal_z","corruption_z","corruption_m1","swiid_gini","swiid_gini_m1","edu_year","edu_year_m1","DemYear_z","lg_imp_mdpgdp","lg_imp_imfgdp","lg_mdpgdp_lag1","lg_imfgdp_lag1"
"Albania",1987,"Albania","ALB",339,"Southern Europe",-1.35008911553761,NA,NA,0,-1.41356915657927,-1.7741218727465,NA,NA,NA,NA,NA,NA,-0.826490614965824,8.21878715560148,7.94371376975617,8.18395571730495,7.94720665564425
"Algeria",1987,"Algeria","DZA",615,"Northern Africa",-1.19070500327219,-1.35008911553761,0.159384112265425,0,-1.23897679344377,-1.32447905620666,NA,NA,NA,NA,NA,NA,NA,9.18163220783944,8.74765046863772,9.28368376620039,8.75891147999827
"Argentina",1987,"Argentina","ARG",160,"South America",0.695958093079011,-1.19070500327219,1.8866630963512,1,1.00036003807675,0.3423003499324,NA,NA,41,NA,NA,NA,-1.65468060798406,9.49371317283986,8.93174490150231,9.4786102409065,8.89802994328122
"Armenia",1987,"Armenia","ARM",365,"Western Asia",-1.39827500994344,0.695958093079011,-2.09423310302245,0,-1.5160472827675,NA,NA,NA,NA,41,NA,NA,-2.48069469178417,8.774622220697,9.15418746637765,8.83462822201737,8.42783724334946
"Australia",1987,"Australia","AUS",900,"Australia and New Zealand",1.4483993672623,-1.39827500994344,2.84667437720574,1,1.23568017969416,1.24933844536621,NA,NA,29.1,NA,NA,NA,-1.65468060798406,10.1540516994263,9.68811703790107,10.0985607932552,9.63112806408373
"Austria",1987,"Austria","AUT",305,"Western Europe",1.2816020404729,1.4483993672623,-0.166797326789398,1,1.18633885967761,1.11367035416885,NA,NA,23.3,29.1,NA,NA,-1.65468060798406,9.92661796992498,9.73486965209823,9.88461049676644,9.69440699267023
"Azerbaijan",1987,"Azerbaijan","AZE",365,"Western Asia",-1.39827500994344,1.2816020404729,-2.67987705041634,0,-1.5160472827675,NA,NA,NA,NA,23.3,NA,NA,NA,9.32563141631092,8.93174490150231,9.28804187964004,9.23478241858927
"Bangladesh",1987,"Bangladesh","BGD",771,"Southern Asia",-0.923829280409149,-1.39827500994344,0.47444572953429,0,-0.787313940984546,-0.921351013791629,NA,NA,31.5,NA,NA,NA,-1.67038640311002,7.07749805356923,6.64216265382968,7.09090982207998,6.615128985294
"Belarus",1987,"Belarus","BLR",365,"Eastern Europe",-1.39827500994344,-0.923829280409149,-0.47444572953429,0,-1.5160472827675,NA,NA,NA,NA,31.5,NA,NA,-2.20415189829262,9.44659756243577,9.52471244601804,9.4407375520017,9.36459006362278
"Belgium",1987,"Belgium","BEL",211,"Western Europe",1.25565578963899,-1.39827500994344,2.65393079958243,1,1.14079302581618,1.05552688651283,NA,NA,23.2,NA,NA,NA,-1.65468060798406,9.93178342169097,9.66313960564945,9.88532358190846,9.61675586672362
"Belize",1987,"Belize","BLZ",NA,"Central America",NA,1.25565578963899,NA,1,NA,NA,NA,NA,NA,23.2,NA,NA,-1.65468060798406,7.72321349764371,7.72321349764371,7.52707389149742,7.52707389149742
"Benin",1987,"Benin","BEN",434,"Western Africa",-1.24259750494,NA,NA,0,-1.64129832588644,-1.20819212089463,NA,NA,NA,NA,NA,NA,-1.33892848426402,7.22983877815125,7.06997362947163,7.33236920592906,7.09584831202319
"Bolivia",1987,"Bolivia","BOL",145,"South America",0.0843678948512158,-1.24259750494,1.32696539979122,1,0.567674616393127,-0.103466235430371,NA,NA,NA,NA,NA,NA,-1.66017810947384,7.722677516468,7.6267449767614,7.69893619981345,7.59897799838808
"Bosnia & Herzegovina",1987,"Bosnia","BIH",345,"Southern Europe",-1.10174642898451,0.0843678948512158,-1.18611432383572,0,-1.55020665816357,NA,NA,NA,NA,NA,NA,NA,-1.05381418212194,7.74370325817375,7.80673317406181,7.76937860951398,8.14267292467828
"Botswana",1987,"Botswana","BWA",571,"Southern Africa",0.629239162363251,-1.10174642898451,1.73098559134776,1,0.632197881030159,0.803571860003441,NA,NA,56.8,NA,NA,NA,-1.65468060798406,8.40380050406115,8.338789809174,8.34948434699013,8.21450818263978
"Brazil",1987,"Brazil","BRA",140,"South America",-0.156561577177916,0.629239162363251,-0.785800739541167,1,0.0325110685212729,0.0477067804752646,NA,NA,53,56.8,NA,NA,-1.65468060798406,8.67931204089267,8.78629016499826,8.67162954472066,8.74643191297366
"Bulgaria",1987,"Bulgaria","BGR",355,"Eastern Europe",-1.35750233006159,-0.156561577177916,-1.20094075288367,0,-1.37940978118319,-1.82838910922544,NA,NA,NA,53,NA,NA,-1.40396331830657,9.40648264778745,9.2079008671689,9.38572123109081,9.13901735160448
"Burkina Faso",1987,"Burkina Faso","BFA",439,"Western Africa",-1.15734553791431,-1.35750233006159,0.200156792147278,0,-1.47429693506118,-1.04539041145779,NA,NA,NA,NA,NA,NA,-0.935636476700416,7.36391350140582,6.32167807044388,7.44600149832412,6.32564002361909
