country,year,item,r,n,survey,cc_rank
Colombia,1996,threestate_lb,1,265.9999631113259,lb1996,369
Colombia,1996,threestate_lb,2,214.9999701839664,lb1996,369
Colombia,1996,threestate_lb,3,720.9999000122781,lb1996,369
Colombia,1997,army_wvs,1,336.25521180801576,wvs_combo,369
Colombia,1997,army_wvs,2,790.600051572418,wvs_combo,369
Colombia,1997,army_wvs,3,1132.8598207341483,wvs_combo,369
Colombia,1997,army_wvs,4,619.4701669915528,wvs_combo,369
Colombia,1997,evdemoc_wvs,1,94.07139854152823,wvs_combo,369
Colombia,1997,evdemoc_wvs,2,384.2916706377323,wvs_combo,369
Colombia,1997,evdemoc_wvs,3,1417.075535476638,wvs_combo,369
Colombia,1997,evdemoc_wvs,4,1014.7701927777618,wvs_combo,369
Colombia,1997,strong_wvs,1,604.4587736072664,wvs_combo,369
Colombia,1997,strong_wvs,2,1302.988945756061,wvs_combo,369
Colombia,1997,strong_wvs,3,725.5506802405102,wvs_combo,369
Colombia,1997,strong_wvs,4,237.1800154717254,wvs_combo,369
Colombia,1997,threestate_lb,1,192.57730959557117,lb1997,369
Colombia,1997,threestate_lb,2,182.5674494384849,lb1997,369
Colombia,1997,threestate_lb,3,824.9098612633967,lb1997,369
Colombia,1998,army_wvs,1,146.11089560705446,wvs_combo,369
Colombia,1998,army_wvs,2,652.495232436983,wvs_combo,369
Colombia,1998,army_wvs,3,1364.035278852159,wvs_combo,369
Colombia,1998,army_wvs,4,682.5180192055558,wvs_combo,369
Colombia,1998,evdemoc_wvs,1,65.0493713319078,wvs_combo,369
Colombia,1998,evdemoc_wvs,2,302.2293868036332,wvs_combo,369
Colombia,1998,evdemoc_wvs,3,1485.1271854854028,wvs_combo,369
Colombia,1998,evdemoc_wvs,4,1031.7831052799531,wvs_combo,369
Colombia,1998,strong_wvs,1,293.22255077306136,wvs_combo,369
Colombia,1998,strong_wvs,2,850.6456251095636,wvs_combo,369
Colombia,1998,strong_wvs,3,1284.9752736949174,wvs_combo,369
Colombia,1998,strong_wvs,4,407.30914049363815,wvs_combo,369
Colombia,1998,threestate_lb,1,299.01473776071043,lb1998,369
Colombia,1998,threestate_lb,2,244.01202680138243,lb1998,369
Colombia,1998,threestate_lb,3,657.0323836414273,lb1998,369
Colombia,2000,threestate_lb,1,368.43630866148777,lb2000,369
Colombia,2000,threestate_lb,2,231.53481869199385,lb2000,369
Colombia,2000,threestate_lb,3,600.2346744987797,lb2000,369
Colombia,2001,threestate_lb,1,501.51820422459343,lb2001,369
Colombia,2001,threestate_lb,2,266.4159137273067,lb2001,369
Colombia,2001,threestate_lb,3,432.3381053711106,lb2001,369
Colombia,2002,church_lb,1,341.17946695388866,lb2002,369
Colombia,2002,church_lb,2,191.38840442392433,lb2002,369
Colombia,2002,church_lb,3,460.71415044157106,lb2002,369
Colombia,2002,church_lb,4,210.61884178678508,lb2002,369
Colombia,2002,threestate_lb,1,441.68376155561486,lb2002,369
Colombia,2002,threestate_lb,2,296.5414684711505,lb2002,369
Colombia,2002,threestate_lb,3,465.6756335794038,lb2002,369
Colombia,2003,church_lb,1,239.65345252458022,lb2003,369
Colombia,2003,church_lb,2,276.07022765758177,lb2003,369
Colombia,2003,church_lb,3,557.0899791180664,lb2003,369
Colombia,2003,church_lb,4,127.19791171127831,lb2003,369
Colombia,2003,threestate_lb,1,372.72789249684615,lb2003,369
Colombia,2003,threestate_lb,2,279.78104550338674,lb2003,369
Colombia,2003,threestate_lb,3,547.5026330112736,lb2003,369
Colombia,2004,church_amb,1,64.99962907749865,amb_combo,369
Colombia,2004,church_amb,2,48.99972038149899,amb_combo,369
Colombia,2004,church_amb,3,89.99948641499815,amb_combo,369
Colombia,2004,church_amb,4,162.99906984049665,amb_combo,369
Colombia,2004,church_amb,5,256.99853342949467,amb_combo,369
Colombia,2004,church_amb,6,305.9982538109937,amb_combo,369
Colombia,2004,church_amb,7,471.99730653199026,amb_combo,369
Colombia,2004,church_lb,1,160.2713083863697,lb2004,369
Colombia,2004,church_lb,2,182.35222233358039,lb2004,369
Colombia,2004,church_lb,3,699.6474701372548,lb2004,369
Colombia,2004,church_lb,4,158.2330889784737,lb2004,369
Colombia,2004,strong_amb_1,1,204.99883016749578,amb_combo,369
Colombia,2004,strong_amb_1,2,1228.9929867114747,amb_combo,369
Colombia,2004,threestate_amb,1,223.9987217439954,amb_combo,369
Colombia,2004,threestate_amb,2,187.9989271779961,amb_combo,369
Colombia,2004,threestate_amb,3,946.9945959444805,amb_combo,369
Colombia,2004,threestate_lb,1,307.543245464793,lb2004,369
Colombia,2004,threestate_lb,2,339.2775463331151,lb2004,369
Colombia,2004,threestate_lb,3,553.6832980377704,lb2004,369
Colombia,2005,army_wvs,1,125.09494486905348,wvs_combo,369
Colombia,2005,army_wvs,2,790.600051572418,wvs_combo,369
Colombia,2005,army_wvs,3,1301.9881861971087,wvs_combo,369
Colombia,2005,army_wvs,4,602.4572544893616,wvs_combo,369
Colombia,2005,church_amb,1,75,amb_colombia2005,369
Colombia,2005,church_amb,2,48,amb_colombia2005,369
Colombia,2005,church_amb,3,113,amb_colombia2005,369
Colombia,2005,church_amb,4,192,amb_colombia2005,369
Colombia,2005,church_amb,5,278,amb_colombia2005,369
Colombia,2005,church_amb,6,266,amb_colombia2005,369
Colombia,2005,church_amb,7,438,amb_colombia2005,369
Colombia,2005,church_lb,1,97.03821337103129,lb2005,369
Colombia,2005,church_lb,2,203.07997231257065,lb2005,369
Colombia,2005,church_lb,3,698.2749786905139,lb2005,369
Colombia,2005,church_lb,4,202.07957836029198,lb2005,369
Colombia,2005,church_vop,1,54.28234624411034,gallup_vop2005,369
Colombia,2005,church_vop,2,78.70940205396,gallup_vop2005,369
Colombia,2005,church_vop,3,271.41173122055176,gallup_vop2005,369
Colombia,2005,church_vop,4,274.12584853275723,gallup_vop2005,369
Colombia,2005,evdemoc_wvs,1,53.04025662447867,wvs_combo,369
Colombia,2005,evdemoc_wvs,2,320.2430588647769,wvs_combo,369
Colombia,2005,evdemoc_wvs,3,1694.2859333064603,wvs_combo,369
Colombia,2005,evdemoc_wvs,4,761.5780243627976,wvs_combo,369
Colombia,2005,impdemoc_wvs,1,132.10026178172046,wvs_combo,369
Colombia,2005,impdemoc_wvs,2,40.030382358097114,wvs_combo,369
Colombia,2005,impdemoc_wvs,3,41.03114191704954,wvs_combo,369
Colombia,2005,impdemoc_wvs,4,65.0493713319078,wvs_combo,369
Colombia,2005,impdemoc_wvs,5,192.14583531886615,wvs_combo,369
Colombia,2005,impdemoc_wvs,6,167.12684634505544,wvs_combo,369
Colombia,2005,impdemoc_wvs,7,297.22558900887105,wvs_combo,369
Colombia,2005,impdemoc_wvs,8,502.3812985941188,wvs_combo,369
Colombia,2005,impdemoc_wvs,9,418.31749564211486,wvs_combo,369
Colombia,2005,impdemoc_wvs,10,1014.7701927777618,wvs_combo,369
Colombia,2005,strong_amb_1,1,233,amb_colombia2005,369
Colombia,2005,strong_amb_1,2,1188,amb_colombia2005,369
Colombia,2005,strong_wvs,1,148.1124147249593,wvs_combo,369
Colombia,2005,strong_wvs,2,743.5643523016539,wvs_combo,369
Colombia,2005,strong_wvs,3,1365.0360384111116,wvs_combo,369
Colombia,2005,strong_wvs,4,612.4648500788859,wvs_combo,369
Colombia,2005,threestate_amb,1,255,amb_colombia2005,369
Colombia,2005,threestate_amb,2,190,amb_colombia2005,369
Colombia,2005,threestate_amb,3,895,amb_colombia2005,369
Colombia,2005,threestate_lb,1,255.10045783106165,lb2005,369
