country,year,item,r,n,survey,cc_rank,y_claassen
Colombia,1996,threestate_lb,1,265.9999631,lb1996,332,NA
Colombia,1996,threestate_lb,2,214.9999702,lb1996,332,NA
Colombia,1996,threestate_lb,3,720.9999,lb1996,332,NA
Colombia,1997,army_wvs,1,488.4049254,wvs_combo,332,NA
Colombia,1997,army_wvs,2,790.6555146,wvs_combo,332,NA
Colombia,1997,army_wvs,3,1132.939294,wvs_combo,332,NA
Colombia,1997,army_wvs,4,619.5136247,wvs_combo,332,NA
Colombia,1997,evdemoc_wvs,1,215.1783995,wvs_combo,332,NA
Colombia,1997,evdemoc_wvs,2,384.3186299,wvs_combo,332,NA
Colombia,1997,evdemoc_wvs,3,1417.174948,wvs_combo,332,NA
Colombia,1997,evdemoc_wvs,4,1014.841382,wvs_combo,332,NA
Colombia,1997,strong_wvs,1,765.6347704,wvs_combo,332,NA
Colombia,1997,strong_wvs,2,1303.080354,wvs_combo,332,NA
Colombia,1997,strong_wvs,3,725.6015798,wvs_combo,332,NA
Colombia,1997,strong_wvs,4,237.1966544,wvs_combo,332,NA
Colombia,1997,threestate_lb,1,192.5773096,lb1997,332,NA
Colombia,1997,threestate_lb,2,182.5674494,lb1997,332,NA
Colombia,1997,threestate_lb,3,824.9098613,lb1997,332,NA
Colombia,1998,threestate_lb,1,299.0147378,lb1998,332,NA
Colombia,1998,threestate_lb,2,244.0120268,lb1998,332,NA
Colombia,1998,threestate_lb,3,657.0323836,lb1998,332,NA
Colombia,2000,threestate_lb,1,368.4363087,lb2000,332,NA
Colombia,2000,threestate_lb,2,231.5348187,lb2000,332,NA
Colombia,2000,threestate_lb,3,600.2346745,lb2000,332,NA
Colombia,2001,threestate_lb,1,501.5182042,lb2001,332,NA
Colombia,2001,threestate_lb,2,266.4159137,lb2001,332,NA
Colombia,2001,threestate_lb,3,432.3381054,lb2001,332,NA
Colombia,2002,church_lb,1,341.179467,lb2002,332,NA
Colombia,2002,church_lb,2,191.3884044,lb2002,332,NA
Colombia,2002,church_lb,3,460.7141504,lb2002,332,NA
Colombia,2002,church_lb,4,210.6188418,lb2002,332,NA
Colombia,2002,threestate_lb,1,441.6837616,lb2002,332,NA
Colombia,2002,threestate_lb,2,296.5414685,lb2002,332,NA
Colombia,2002,threestate_lb,3,465.6756336,lb2002,332,NA
Colombia,2003,church_lb,1,239.6534525,lb2003,332,NA
Colombia,2003,church_lb,2,276.0702277,lb2003,332,NA
Colombia,2003,church_lb,3,557.0899791,lb2003,332,NA
Colombia,2003,church_lb,4,127.1979117,lb2003,332,NA
Colombia,2003,threestate_lb,1,372.7278925,lb2003,332,NA
Colombia,2003,threestate_lb,2,279.7810455,lb2003,332,NA
Colombia,2003,threestate_lb,3,547.502633,lb2003,332,NA
Colombia,2004,church_amb,1,64.99962908,amb_combo,332,NA
Colombia,2004,church_amb,2,48.99972038,amb_combo,332,NA
Colombia,2004,church_amb,3,89.99948641,amb_combo,332,NA
Colombia,2004,church_amb,4,162.9990698,amb_combo,332,NA
Colombia,2004,church_amb,5,256.9985334,amb_combo,332,NA
Colombia,2004,church_amb,6,305.9982538,amb_combo,332,NA
Colombia,2004,church_amb,7,471.9973065,amb_combo,332,NA
Colombia,2004,church_lb,1,160.2713084,lb2004,332,NA
Colombia,2004,church_lb,2,182.3522223,lb2004,332,NA
Colombia,2004,church_lb,3,699.6474701,lb2004,332,NA
Colombia,2004,church_lb,4,158.233089,lb2004,332,NA
Colombia,2004,strong_amb_2,1,204.9988302,amb_combo,332,NA
