"","ISO","year","dependence","wdi_pop","country","country_name","COWcode","Region_UN","muslism_prop_2010","muslism_prop_1990","dependence_pc","dependence_pc_di","dependence_pc_di_m1","lg_imp_mdpgdp","lg_imp_imfgdp","lg_mdpgdp_lag1","lg_imfgdp_lag1","mdprgdp_grwth_r","imfgdp_grwth_r","mdprgdp_grwth","imfgdp_grwth","imfgdp_grwth_lag1","mdprgdp_grwth_lag1","imfgdp_grwth_rlag1","mdprgdp_grwth_rlag1","firstyear","regime","country_text_id","Vdem_polyarchy","Vdem_libdem","Vdem_region","Vdem_regime","Vdem_liberal","Vdem_corruption","liberal_sd","polyarchy_sd","libdem_sd","corr_sd","Vdem_libdem_m1","Vdem_libdem_m2","Region_libdem","Chgdem","upchgdem","downchgdem","Region_libdem_m1"
"1","ALB",1986,7.665315667,3022635,"Albania","Albania",NA,NA,NA,NA,274.6482604,0,NA,8.183955717,7.947206656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","DZA",1986,7.85301035,23102389,"Algeria","Algeria",NA,NA,NA,NA,845.0624438,0,NA,9.283683766,8.75891148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ARG",1986,1.306330973,30698964,"Argentina","Argentina",NA,NA,NA,NA,170.8289014,0,NA,9.478610241,8.898029943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ARM",1986,NA,3392264,"Armenia","Armenia",NA,NA,NA,NA,NA,NA,NA,8.834628222,8.427837243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","AUS",1986,3.229895381,16018400,"Australia","Australia",NA,NA,NA,NA,785.1229692,0,NA,10.09856079,9.631128064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","AUT",1986,0.244763336,7569794,"Austria","Austria",NA,NA,NA,NA,48.03725223,0,NA,9.884610497,9.694406993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","AZE",1986,NA,6778624,"Azerbaijan","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,9.28804188,9.234782419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","BGD",1986,0.572257551,93187603,"Bangladesh","Bangladesh",NA,NA,NA,NA,6.872813193,0,NA,7.090909822,6.615128985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BLR",1986,NA,10043000,"Belarus","Belarus",NA,NA,NA,NA,NA,NA,NA,9.440737552,9.364590064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","BEL",1986,0.091811892,9861823,"Belgium","Belgium",NA,NA,NA,NA,18.03185561,0,NA,9.885323582,9.616755867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
