country,year,item,r,n,survey,cc_rank
Colombia,1996,threestate_lb,1,244.99996602358962,lb1996,369
Colombia,1996,threestate_lb,2,214.9999701839664,lb1996,369
Colombia,1996,threestate_lb,3,720.9999000122781,lb1996,369
Colombia,1997,army_wvs,1,336.2788011255076,wvs_combo,369
Colombia,1997,army_wvs,2,790.6555145510446,wvs_combo,369
Colombia,1997,army_wvs,3,1132.939294268079,wvs_combo,369
Colombia,1997,army_wvs,4,619.5136246925274,wvs_combo,369
Colombia,1997,evdemoc_wvs,1,94.07799793392176,wvs_combo,369
Colombia,1997,evdemoc_wvs,2,384.31862985772295,wvs_combo,369
Colombia,1997,evdemoc_wvs,3,1417.1749476003533,wvs_combo,369
Colombia,1997,evdemoc_wvs,4,1014.8413819680496,wvs_combo,369
Colombia,1997,strong_wvs,1,604.5011782137101,wvs_combo,369
Colombia,1997,strong_wvs,2,1303.080354361342,wvs_combo,369
Colombia,1997,strong_wvs,3,725.6015798095029,wvs_combo,369
Colombia,1997,strong_wvs,4,237.19665436531338,wvs_combo,369
Colombia,1997,threestate_lb,1,153.9978485705575,lb1997,369
Colombia,1997,threestate_lb,2,182.5674494384849,lb1997,369
Colombia,1997,threestate_lb,3,824.9098612633967,lb1997,369
Colombia,1998,army_wvs,1,146.12114572715507,wvs_combo,369
Colombia,1998,army_wvs,2,652.5410069459255,wvs_combo,369
Colombia,1998,army_wvs,3,1364.1309700418656,wvs_combo,369
Colombia,1998,army_wvs,4,682.5658999035601,wvs_combo,369
Colombia,1998,evdemoc_wvs,1,65.05393474154164,wvs_combo,369
Colombia,1998,evdemoc_wvs,2,302.25058910685505,wvs_combo,369
Colombia,1998,evdemoc_wvs,3,1485.2313716376584,wvs_combo,369
Colombia,1998,evdemoc_wvs,4,1031.855487977376,wvs_combo,369
Colombia,1998,strong_wvs,1,293.24312121956467,wvs_combo,369
Colombia,1998,strong_wvs,2,850.7053004663138,wvs_combo,369
Colombia,1998,strong_wvs,3,1285.065418586761,wvs_combo,369
Colombia,1998,strong_wvs,4,407.33771445857616,wvs_combo,369
Colombia,1998,threestate_lb,1,202.0099566142592,lb1998,369
Colombia,1998,threestate_lb,2,244.01202680138243,lb1998,369
Colombia,1998,threestate_lb,3,657.0323836414273,lb1998,369
Colombia,2000,threestate_lb,1,280.7844288331414,lb2000,369
Colombia,2000,threestate_lb,2,231.53481869199385,lb2000,369
Colombia,2000,threestate_lb,3,600.2346744987797,lb2000,369
Colombia,2001,threestate_lb,1,190.95308099879813,lb2001,369
Colombia,2001,threestate_lb,2,266.4159137273067,lb2001,369
Colombia,2001,threestate_lb,3,432.3381053711106,lb2001,369
Colombia,2002,church_lb,1,107.11472295841725,lb2002,369
Colombia,2002,church_lb,2,191.38840442392433,lb2002,369
Colombia,2002,church_lb,3,460.71415044157106,lb2002,369
Colombia,2002,church_lb,4,210.61884178678508,lb2002,369
Colombia,2002,threestate_lb,1,128.5137901491462,lb2002,369
Colombia,2002,threestate_lb,2,296.5414684711505,lb2002,369
Colombia,2002,threestate_lb,3,465.6756335794038,lb2002,369
Colombia,2003,church_lb,1,48.95203541669638,lb2003,369
Colombia,2003,church_lb,2,276.07022765758177,lb2003,369
Colombia,2003,church_lb,3,557.0899791180664,lb2003,369
Colombia,2003,church_lb,4,127.19791171127831,lb2003,369
Colombia,2003,threestate_lb,1,164.2986901337405,lb2003,369
Colombia,2003,threestate_lb,2,279.78104550338674,lb2003,369
Colombia,2003,threestate_lb,3,547.5026330112736,lb2003,369
Colombia,2004,church_amb,1,64.99962907749865,amb_combo,369
Colombia,2004,church_amb,2,48.99972038149899,amb_combo,369
Colombia,2004,church_amb,3,89.99948641499815,amb_combo,369
Colombia,2004,church_amb,4,162.99906984049665,amb_combo,369
Colombia,2004,church_amb,5,256.99853342949467,amb_combo,369
Colombia,2004,church_amb,6,305.9982538109937,amb_combo,369
Colombia,2004,church_amb,7,471.99730653199026,amb_combo,369
Colombia,2004,church_lb,1,31.15062832289113,lb2004,369
Colombia,2004,church_lb,2,182.35222233358039,lb2004,369
Colombia,2004,church_lb,3,699.6474701372548,lb2004,369
Colombia,2004,church_lb,4,158.2330889784737,lb2004,369
Colombia,2004,strong_amb_1,1,204.99883016749578,amb_combo,369
Colombia,2004,strong_amb_1,2,1228.9929867114747,amb_combo,369
Colombia,2004,threestate_amb,1,223.9987217439954,amb_combo,369
Colombia,2004,threestate_amb,2,187.9989271779961,amb_combo,369
Colombia,2004,threestate_amb,3,946.9945959444805,amb_combo,369
Colombia,2004,threestate_lb,1,146.36826968443486,lb2004,369
Colombia,2004,threestate_lb,2,339.2775463331151,lb2004,369
Colombia,2004,threestate_lb,3,553.6832980377704,lb2004,369
Colombia,2005,army_wvs,1,125.10372065681085,wvs_combo,369
Colombia,2005,army_wvs,2,790.6555145510446,wvs_combo,369
Colombia,2005,army_wvs,3,1302.0795245960874,wvs_combo,369
Colombia,2005,army_wvs,4,602.4995186832011,wvs_combo,369
Colombia,2005,church_amb,1,75,amb_colombia2005,369
Colombia,2005,church_amb,2,48,amb_colombia2005,369
Colombia,2005,church_amb,3,113,amb_colombia2005,369
Colombia,2005,church_amb,4,192,amb_colombia2005,369
Colombia,2005,church_amb,5,278,amb_colombia2005,369
Colombia,2005,church_amb,6,266,amb_colombia2005,369
Colombia,2005,church_amb,7,438,amb_colombia2005,369
Colombia,2005,church_lb,1,32.01260647291754,lb2005,369
Colombia,2005,church_lb,2,203.07997231257065,lb2005,369
Colombia,2005,church_lb,3,698.2749786905139,lb2005,369
Colombia,2005,church_lb,4,202.07957836029198,lb2005,369
Colombia,2005,church_vop,1,40.71175968308276,gallup_vop2005,369
