"country","year","country_name","Region_UN","country_code","muslism_prop_2010","muslism_prop_1990","vdem_cntryname","COWcode","Vdem_polyarchy","Vdem_libdem","Vdem_region","Vdem_regime"
"Armenia",1987,"Armenia","Western Asia","ARM",1,3.61768834801936,NA,NA,NA,NA,NA,NA
"Azerbaijan",1987,"Azerbaijan","Western Asia","AZE",96.9,78.7121106299763,NA,NA,NA,NA,NA,NA
"Belarus",1987,"Belarus","Eastern Europe","BLR",1,0.0981450583963098,NA,NA,NA,NA,NA,NA
"Belize",1987,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Bosnia & Herzegovina",1987,"Bosnia","Southern Europe","BIH",45.2,41.291179437844,NA,NA,NA,NA,NA,NA
"Croatia",1987,"Croatia","Southern Europe","HRV",1.4,1.08846544792028,NA,NA,NA,NA,NA,NA
"Estonia",1987,"Estonia","Northern Europe","EST",1,0.573550160785228,NA,NA,NA,NA,NA,NA
"Georgia",1987,"Georgia","Western Asia","GEO",10.7,13.0154102457309,NA,NA,NA,NA,NA,NA
"Kazakhstan",1987,"Kazakhstan","Central Asia","KAZ",70.4,51.3273794959628,NA,NA,NA,NA,NA,NA
"Kosovo",1987,"Kosovo","Southern Europe","XKX",93.8,104.99462943072,NA,NA,NA,NA,NA,NA
"Kyrgyzstan",1987,"Kyrgyzstan","Central Asia","KGZ",88,55.7706321734378,NA,NA,NA,NA,NA,NA
"Latvia",1987,"Latvia","Northern Europe","LVA",1,0.112648512983304,NA,NA,NA,NA,NA,NA
"Lithuania",1987,"Lithuania","Northern Europe","LTU",1,0.189299801667894,NA,NA,NA,NA,NA,NA
"Macedonia",1987,"North Macedonia","Southern Europe","MKD",39.3,22.0916648799636,NA,NA,NA,NA,NA,NA
"Moldova",1987,"Moldova","Eastern Europe","MDA",1,0.134721095336394,NA,NA,NA,NA,NA,NA
"Montenegro",1987,"Montenegro","Southern Europe","MNE",18.7,15.5020350543891,NA,NA,NA,NA,NA,NA
"Mozambique",1987,"Mozambique","Eastern Africa","MOZ",18,13.5594086896637,"Mozambique",541,NA,NA,4,NA
"North Macedonia",1987,"North Macedonia","Southern Europe","MKD",39.3,22.0916648799636,NA,NA,NA,NA,NA,NA
"Slovakia",1987,"Slovakia","Eastern Europe","SVK",1,0.0188708192407628,NA,NA,NA,NA,NA,NA
"Slovenia",1987,"Slovenia","Southern Europe","SVN",3.6,1.45133450207466,NA,NA,NA,NA,NA,NA
"Ukraine",1987,"Ukraine","Eastern Europe","UKR",1.2,0.198491464867011,NA,NA,NA,NA,NA,NA
"Uzbekistan",1987,"Uzbekistan","Central Asia","UZB",96.7,94.549000487567,NA,NA,NA,NA,NA,NA
"Armenia",1988,"Armenia","Western Asia","ARM",1,3.61768834801936,NA,NA,NA,NA,NA,NA
"Azerbaijan",1988,"Azerbaijan","Western Asia","AZE",96.9,78.7121106299763,NA,NA,NA,NA,NA,NA
"Belarus",1988,"Belarus","Eastern Europe","BLR",1,0.0981450583963098,NA,NA,NA,NA,NA,NA
"Belize",1988,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Bosnia & Herzegovina",1988,"Bosnia","Southern Europe","BIH",45.2,41.291179437844,NA,NA,NA,NA,NA,NA
"Croatia",1988,"Croatia","Southern Europe","HRV",1.4,1.08846544792028,NA,NA,NA,NA,NA,NA
"Estonia",1988,"Estonia","Northern Europe","EST",1,0.573550160785228,NA,NA,NA,NA,NA,NA
"Georgia",1988,"Georgia","Western Asia","GEO",10.7,13.0154102457309,NA,NA,NA,NA,NA,NA
"Kazakhstan",1988,"Kazakhstan","Central Asia","KAZ",70.4,51.3273794959628,NA,NA,NA,NA,NA,NA
