survey,item,variable,values,non_response
,,,,
afrob1,threestate_11,supdem,c(3:1),"c(4,98)"
,,,,
afrob1,strong_34,rejdic,c(5:1),"c(6,98)"
,,,,
afrob1,army_42,rejmil,c(5:1),"c(6,98)"
,,,,
afrob1,party_51,rejone,c(5:1),"c(6,98)"
,,,,
afrob2,threestate_11,q38,"c(2,1,3)","c(9,98)"
,,,,
afrob2,strong_34,q35d,c(5:1),"c(9,98)"
,,,,
afrob2,army_42,q35c,c(5:1),"c(9,98)"
,,,,
afrob2,party_51,q35a,c(5:1),"c(9,98)"
,,,,
afrob3,threestate_11,q37,"c(2,1,3)","c(9,998)"
,,,,
afrob3,strong_34,q36c,c(5:1),"c(9,98)"
,,,,
afrob3,army_42,q36b,c(5:1),"c(9,98)"
,,,,
afrob3,party_51,q36a,c(5:1),"c(9,98)"
,,,,
afrob4,threestate_11,Q30,"c(2,1,3)","c(9,998)"
,,,,
afrob4,strong_34,Q29C,c(5:1),"c(9,998)"
,,,,
afrob4,army_42,Q29B,c(5:1),"c(9,998)"
,,,,
afrob4,party_51,Q29A,c(5:1),"c(9,998)"
,,,,
afrob5,threestate_11,Q32,"c(2,1,3)","c(9,998)"
,,,,
afrob5,strong_34,Q31C,c(5:1),"c(9,998)"
,,,,
afrob5,army_42,Q31B,c(5:1),"c(9,998)"
,,,,
afrob5,party_51,Q31A,c(5:1),"c(9,998)"
,,,,
afrob6,threestate_11,Q30,"c(2,1,3)","c(9,98)"
,,,,
afrob6,strong_34,Q28C,c(5:1),"c(9,98)"
,,,,
afrob6,army_42,Q28B,c(5:1),"c(9,98)"
,,,,
afrob6,party_51,Q28A,c(5:1),"c(9,98)"
,,,,
afrob7,threestate_11,Q28,"c(2,1,3)","c(9,8)"
,,,,
afrob7,strong_34,Q27C,c(5:1),"c(9,8)"
,,,,
afrob7,army_42,Q27B,c(5:1),"c(9,8)"
,,,,
afrob7,party_51,Q27A,c(5:1),"c(9,8)"
,,,,
arabb1,church_21,q2324,c(4:1),"c(97,98,99)"
,,,,
arabb1,strong_38 ,q2452,c(1:4),"c(97,98,99)"
,,,,
arabb1,evdemoc_4,q2451,c(4:1),"c(97,98,99)"
,,,,
arabb1,democsuit_71,q243,c(1:10),"c(97,98,99)"
,,,,
arabb2,church_21,q5164,c(4:1),"c(8,9?"
,,,,
arabb2,strong_37,q5172,c(1:4),"c(8,9?"
,,,,
arabb2,evdemoc_4,q5171,c(4:1),"c(8,9?"
,,,,
arabb2,democsuit_71,q512,c(1:10),"c(96,98,99)"
,,,,
arabb3,church_21,q5164,c(4:1),"c(8,9)"
,,,,
arabb3,strong_37,q5172,c(1:4),"c(8,9)"
,,,,
arabb3,evdemoc_4,q5171,c(4:1),"c(8,9)"
,,,,
arabb3,democsuit_72,q512,c(0:10),"c(96,98,99)"
,,,,
arabb4,threestate_11,q516a,"c(2,3,1)","c(98,99)"
,,,,
arabb5,threestate_11,q516a,"c(2,3,1)","c(98,99)"
,,,,
arabb5,church_21,q5164,c(4:1),"c(98,99)"
,,,,
arabb5,democsuit_72,q512,c(0:10),"c(96,98,99)"
,,,,
asiab2003,strong_39,Q27_a,c(1:3),c(9)
,,,,
asiab2003,army_44 ,Q27_c,c(1:3),c(9)
,,,,
asiab2003,evdemoc_3,Q27_d,c(3:1),c(9)
,,,,
asiab2004,strong_39,Q32a,c(1:3),c(9)
,,,,
asiab2004,army_44 ,Q32c,c(1:3),c(9)
,,,,
asiab2004,evdemoc_3,Q32d,c(3:1),c(9)
,,,,
asiab2005,strong_39,Q34a,c(1:3),c(9)
,,,,
asiab2005,army_44 ,Q34c,c(1:3),c(9)
,,,,
asiab2005,evdemoc_3,Q34d,c(3:1),c(9)
,,,,
asiab2006,strong_39,Q38a,c(1:3),c(9)
,,,,
asiab2006,army_44 ,Q38c,c(1:3),c(9)
,,,,
asiab2006,evdemoc_3,Q38d,c(3:1),c(9)
,,,,
asiab2007,strong_39,q39a,c(1:3),c(9)
,,,,
asiab2007,army_44 ,q39c,c(1:3),c(9)
,,,,
asiab2007,evdemoc_3,q39d,c(3:1),c(9)
,,,,
asianb1,threestate_14,q117,c(1:3),"c(98,99)"
,,,,
asianb1,strong_31,q121,c(1:4),"c(98,99)"
,,,,
asianb1,army_41,q123,c(1:4),"c(98,99)"
,,,,
asianb1,party_52,q122 ,c(1:4),"c(98,99)"
,,,,
asianb1,democsuit_71,q103,c(1:10),"c(98,99)"
,,,,
asianb1,democextent_91,q101,c(1:10),"c(98,99)"
,,,,
asianb2,threestate_14,q121,"c(2,1,3)  ","c(7,8,9)"
,,,,
asianb2,strong_31,q124,c(1:4),"c(7,8,9)"
,,,,
