survey,item,variable,values,non_response
,,,,
afrob1,threestate_afrob,supdem,c(3:1),"c(4,98)"
,,,,
afrob1,strong_afrob,rejdic,c(5:1),"c(6,98)"
,,,,
afrob1,army_afrob,rejmil,c(5:1),"c(6,98)"
,,,,
afrob1,party_afrob,rejone,c(5:1),"c(6,98)"
,,,,
afrob2,threestate_afrob,q38,"c(2,1,3)","c(9,98)"
,,,,
afrob2,strong_afrob,q35d,c(5:1),"c(9,98)"
,,,,
afrob2,army_afrob,q35c,c(5:1),"c(9,98)"
,,,,
afrob2,party_afrob,q35a,c(5:1),"c(9,98)"
,,,,
afrob3,threestate_afrob,q37,"c(2,1,3)","c(9,998)"
,,,,
afrob3,strong_afrob,q36c,c(5:1),"c(9,98)"
,,,,
afrob3,army_afrob,q36b,c(5:1),"c(9,98)"
,,,,
afrob3,party_afrob,q36a,c(5:1),"c(9,98)"
,,,,
afrob4,threestate_afrob,Q30,"c(2,1,3)","c(9,998)"
,,,,
afrob4,strong_afrob,Q29C,c(5:1),"c(9,998)"
,,,,
afrob4,army_afrob,Q29B,c(5:1),"c(9,998)"
,,,,
afrob4,party_afrob,Q29A,c(5:1),"c(9,998)"
,,,,
afrob5,threestate_afrob,Q32,"c(2,1,3)","c(9,998)"
,,,,
afrob5,strong_afrob,Q31C,c(5:1),"c(9,998)"
,,,,
afrob5,army_afrob,Q31B,c(5:1),"c(9,998)"
,,,,
afrob5,party_afrob,Q31A,c(5:1),"c(9,998)"
,,,,
afrob6,threestate_afrob,Q30,"c(2,1,3)","c(9,98)"
,,,,
afrob6,strong_afrob,Q28C,c(5:1),"c(9,98)"
,,,,
afrob6,army_afrob,Q28B,c(5:1),"c(9,98)"
,,,,
afrob6,party_afrob,Q28A,c(5:1),"c(9,98)"
,,,,
afrob7,threestate_afrob,Q28,"c(2,1,3)","c(9,8)"
,,,,
afrob7,strong_afrob,Q27C,c(5:1),"c(9,8)"
,,,,
afrob7,army_afrob,Q27B,c(5:1),"c(9,8)"
,,,,
afrob7,party_afrob,Q27A,c(5:1),"c(9,8)"
,,,,
arabb1,church_arabb,q2324,c(4:1),"c(97,98,99)"
,,,,
arabb1,strong_arabb_2,q2452,c(1:4),"c(97,98,99)"
,,,,
arabb1,evdemoc_arabb,q2451,c(4:1),"c(97,98,99)"
,,,,
arabb1,democsuit_arabb,q243,c(1:10),"c(97,98,99)"
,,,,
arabb2,church_arabb,q5164,c(4:1),"c(8,9)"
,,,,
arabb2,strong_arabb_1,q5172,c(1:4),"c(8,9)"
,,,,
arabb2,evdemoc_arabb,q5171,c(4:1),"c(8,9)"
,,,,
arabb2,democsuit_arabb,q512,c(1:10),"c(96,98,99)"
,,,,
arabb3,church_arabb,q5164,c(4:1),"c(8,9)"
,,,,
arabb3,strong_arabb_1,q5172,c(1:4),"c(8,9)"
,,,,
arabb3,evdemoc_arabb,q5171,c(4:1),"c(8,9)"
,,,,
arabb3,democsuit_arabb,q512,c(0:10),"c(96,98,99)"
,,,,
arabb4,threestate_arabb,q516a,"c(2,3,1)","c(98,99)"
,,,,
arabb5,threestate_arabb,q516a,"c(2,3,1)","c(98,99)"
,,,,
arabb5,church_arabb,q5164,c(4:1),"c(98,99)"
